name,FC,log2FC,pval,p_adjust
tatB,1.631870014,0.706526145,0.003705511,0.061122825
nrdG,1.252513213,0.324825823,0.003718297,0.06113459
amaB_3,1.2633248,0.337225602,0.003737371,0.061249344
TKL1,1.215074865,0.281045206,0.003858488,0.062371429
bhuR,1.29724757,0.375453834,0.003828574,0.062371429
hyaB,1.173324783,0.230602415,0.003867423,0.062371429
ltaS,1.450521403,0.536571583,0.003852957,0.062371429
qacR,1.211228613,0.276471192,0.003848542,0.062371429
abgT,1.339325288,0.421506397,0.003974063,0.063612701
envC,2.636449823,1.398596539,0.003982075,0.063612701
lacZ,-0.682294936,NA,0.003971561,0.063612701
FI,1.280284405,0.356464329,0.004074494,0.063879992
cbpE,1.475838407,0.561534766,0.004066645,0.063879992
flaB,1.299103725,0.377516625,0.004059584,0.063879992
norR,1.302071158,0.380808293,0.004053222,0.063879992
nuoJ,1.253495097,0.325956353,0.004019734,0.063879992
ypt1,1.237453863,0.307374737,0.004056241,0.063879992
kpsC,9.90336861,3.307919338,0.004166673,0.065123549
fbpC,5.445922659,2.445176494,0.004246712,0.066170314
ntrY,1.342971393,0.425428574,0.004272744,0.066345559
tcaB,1.128740164,0.174713416,0.004284162,0.066345559
fur,1.142712948,0.192463041,0.004394969,0.06775627
tonB5,1.329354324,0.41072569,0.004402017,0.06775627
dsdA,1.770306063,0.823998805,0.00446231,0.068326881
hly,1.105035839,0.144093161,0.004466074,0.068326881
Z012_05050,1.168493383,0.224649565,0.004499405,0.068629477
glyQS,-1.12174859,NA,0.004850547,0.073763271
pdxK,1.153618683,0.206166434,0.00496003,0.075202374
rbsB,1.231636834,0.30057692,0.005128453,0.077293108
truA,-0.496863108,NA,0.005124684,0.077293108
A,1.294382839,0.372264385,0.005155226,0.077466074
djlA,1.198814294,0.261608191,0.00520456,0.077572899
emrA,1.149609721,0.201144166,0.005264604,0.077572899
mraY,4.371567888,2.128150803,0.005222597,0.077572899
mrcB,1.48892372,0.574269844,0.00521957,0.077572899
treY,1.210245374,0.275299579,0.005231861,0.077572899
vioA,1.197172866,0.259631485,0.005252446,0.077572899
yqaB,1.155196639,0.20813845,0.005269565,0.077572899
cobJ,1.714652842,0.77791651,0.005308597,0.077920969
fldB,1.336533265,0.418495745,0.005337318,0.078116127
yvcC,1.200545393,0.263689953,0.005364436,0.078286761
rpsT,1.319312057,0.399785846,0.005423587,0.078922537
dehH1,1.322738843,0.403528249,0.005472054,0.079266278
ispG,0.274372056,-1.865794538,0.00550982,0.079266278
ldcC,1.275409718,0.350960779,0.005505009,0.079266278
pcaH,1.139684468,0.188634456,0.005507417,0.079266278
cbiG,1.225139214,0.292945694,0.005547937,0.079588535
citE,1.305928445,0.385075851,0.005605366,0.079766108
crpA,1.140303004,0.189417232,0.005639073,0.079766108
flgJ,1.209095217,0.273927863,0.0056375,0.079766108
ilvB,1.533673566,0.616991446,0.00562137,0.079766108
sigH,1.404923394,0.490491467,0.005590001,0.079766108
glaA,1.061619981,0.08626743,0.005773354,0.081438059
flhA,1.209603082,0.27453372,0.00581144,0.081566686
ywaD,1.147129327,0.19802805,0.005814687,0.081566686
exaA1,1.346774824,0.429508657,0.005928386,0.0818481
hemN,1.970524747,0.978579868,0.005883483,0.0818481
paaF,1.293830047,0.371648122,0.005867905,0.0818481
pimB,1.240504891,0.310927423,0.005947887,0.0818481
rpsE,1.269488455,0.344247275,0.005907469,0.0818481
uxuA,1.272757066,0.347957075,0.00588793,0.0818481
yheT,-0.487295874,NA,0.005932865,0.0818481
zapA,1.110102265,0.150692587,0.006026927,0.082711001
hemE,2.266024425,1.180163412,0.006103455,0.083309696
potD2,1.164833333,0.220123545,0.006088616,0.083309696
mmsA,1.222983291,0.290404693,0.006133606,0.083496187
arnB,1.288437961,0.365623072,0.006192368,0.084070115
exuT,1.210641492,0.275771702,0.006317559,0.084258778
gapA2,1.25879523,0.332043617,0.006280794,0.084258778
gcvH,0.336074536,-1.573146858,0.006339375,0.084258778
hgdC2,1.154085779,0.206750458,0.006283678,0.084258778
mdsC,1.822860833,0.866204423,0.006336254,0.084258778
pilR,1.218593254,0.285216658,0.006298725,0.084258778
pyrE,4.815669419,2.267736359,0.006227196,0.084258778
yejB,1.22165147,0.288832752,0.006290971,0.084258778
fabG,2.37014359,1.244974464,0.006357505,0.084278547
phbC,1.222185123,0.289462825,0.006442586,0.085183432
comFA,1.145601147,0.196104842,0.006541442,0.086265268
ebgC,1.167770237,0.223756447,0.006589646,0.086450697
fliI,1.260748481,0.334280487,0.006576626,0.086450697
garK,1.245725054,0.316985684,0.006662732,0.087183661
rnjB,1.176450692,0.234440855,0.00670245,0.087477334
yfbM,1.25300997,0.325397894,0.00674444,0.087799085
cbiK_2,1.206206903,0.270477397,0.006765164,0.087843056
bamE,1.20674726,0.271123551,0.006784872,0.087873631
pcaQ,1.579177685,0.659173509,0.00685603,0.088568708
mrpA,1.344085299,0.426624698,0.006892408,0.0888121
cobA,1.180925778,0.239918294,0.006987277,0.089578663
hycG,1.156962255,0.210341798,0.006974469,0.089578663
speC,1.333076709,0.414759799,0.007015744,0.089716488
pepQ,1.855220946,0.891591013,0.007232585,0.092256445
trmD,1.198508005,0.261239545,0.007272073,0.092527085
sinR,1.218826011,0.285492194,0.007358614,0.093393533
hup,1.10880235,0.149002221,0.00744539,0.093789694
hypD,1.165867021,0.221403244,0.007433113,0.093789694
ktrA,1.222040005,0.289291514,0.007421685,0.093789694
metI,1.632962214,0.707491408,0.007464846,0.093801437
cysD,1.444070882,0.530141559,0.007578719,0.09477195
fthC,1.218520687,0.285130744,0.00757951,0.09477195
mtlD,1.190559042,0.251639168,0.007632572,0.095200351
glt,1.262444818,0.336220329,0.007666051,0.095382998
Z012_07300,1.62622855,0.701530027,0.007883771,0.097851509
hslV,1.198604817,0.261356077,0.007966982,0.09864253
Z012_06625,1.14942005,0.20090612,0.007997327,0.098776746
bdhA,1.165449968,0.220887072,0.008055345,0.098983197
fabZ,6.094157168,2.607426707,0.008063685,0.098983197
lacY_2,1.240133251,0.310495145,0.008072682,0.098983197
eptA,1.055242174,0.077574129,0.008147099,0.099654365
mliC,1.117725433,0.160565836,0.008211278,0.100197377
guaD,1.087637146,0.12119733,0.00840098,0.101992994
ycgF,1.223086393,0.290526312,0.008418853,0.101992994
ydeP,1.391403143,0.476540485,0.008385734,0.101992994
phaA,1.24877177,0.320509828,0.008459573,0.102241712
mod,1.831920508,0.873356902,0.008818207,0.10632238
envC_1,1.078179502,0.108597386,0.008861105,0.106585832
gabR,1.260517572,0.33401623,0.008969718,0.107636611
ybjN,1.266723359,0.341101487,0.009057155,0.108428914
aroQ,-0.438734582,NA,0.009082989,0.108481737
ddh,1.052283488,0.073523424,0.009159351,0.108880178
pqqE,3.274952146,1.711473826,0.009139794,0.108880178
ubiE,1.096637043,0.133086111,0.009259863,0.109817206
fsr,1.283853922,0.360481061,0.009291688,0.109937173
dsrB,1.124377233,0.169126146,0.009439047,0.111420361
nhaP2,0.006118595,-7.352583958,0.009604484,0.112917925
pnp,0.376638576,-1.408747324,0.009610511,0.112917925
urtC,1.252577023,0.32489932,0.009641501,0.113019817
ald1,1.07052424,0.098317463,0.009938005,0.114899676
cmp1,1.09022222,0.124622229,0.009890154,0.114899676
hicA,1.109469066,0.149869443,0.009894706,0.114899676
kefBC,1.125239981,0.170232719,0.009857299,0.114899676
resB,1.085754942,0.118698519,0.009869904,0.114899676
udp,-1.544804194,NA,0.00991683,0.114899676
estB,-0.016395343,NA,0.010047599,0.115638728
rpmI,1.300169046,0.378699213,0.010034988,0.115638728
acpS,1.139727575,0.188689023,0.01023079,0.117437366
hemO,1.143723402,0.193738194,0.01025026,0.117437366
fadH,-0.312580406,NA,0.010353145,0.118177857
tatA,1.167631919,0.223585555,0.010361566,0.118177857
rnjA,1.21685153,0.283153153,0.010413473,0.118502977
mtnP,1.090066315,0.124415905,0.010635403,0.120757131
czcC,1.188533975,0.249183144,0.0108043,0.121855177
epmA,1.247080952,0.318555119,0.010790159,0.121855177
gluB1,1.236431739,0.306182593,0.010771046,0.121855177
mdtC,1.194626051,0.256559088,0.010862282,0.122236882
cobS,1.090194402,0.124585417,0.010996334,0.123366046
lytN,1.18917284,0.249958418,0.011011345,0.123366046
pi346,1.104051518,0.142807493,0.011072266,0.123596753
polB,1.231894059,0.300878192,0.011080752,0.123596753
ubiG,1.163380903,0.218323527,0.011189979,0.124540775
bioH,1.200008347,0.263044441,0.011313917,0.125520908
pduK,1.13000858,0.176333726,0.011352404,0.125520908
zapC,1.228395769,0.296775449,0.011350224,0.125520908
yjbB,1.532193138,0.615598166,0.011412056,0.125905559
gmr,1.188334642,0.248941165,0.011443747,0.125980729
acdS,1.207750721,0.272322714,0.011507825,0.12641134
araT,1.204271434,0.268160602,0.011577654,0.126719498
cpsJ,1.095945521,0.132176084,0.011585926,0.126719498
dhaL,1.100628508,0.138327603,0.011725617,0.127970962
XK27_09800,1.155201733,0.208144812,0.012043016,0.130081766
lipB,1.985827861,0.98974057,0.012041286,0.130081766
prmA,1.293364011,0.371128372,0.012047462,0.130081766
rpsJ,3.910793899,1.967461507,0.0120058,0.130081766
rseB,1.24354554,0.314459342,0.012003481,0.130081766
metZ,1.375186133,0.459626903,0.012099327,0.130363816
ansB,1.191098991,0.25229332,0.012143693,0.130564037
ISU1,1.220957868,0.288013417,0.012260702,0.131264685
ydjZ,1.221601554,0.288773803,0.012248762,0.131264685
sixA,1.231979734,0.300978524,0.012334634,0.131777606
chpA,0.177052215,-2.497753206,0.012363204,0.131804764
glyQ,0.054043143,-4.209744621,0.012418961,0.131862802
perM,1.130625309,0.177120897,0.012420726,0.131862802
irp6A,1.140527662,0.189701438,0.012540828,0.132336645
pbp2b,-0.471253358,NA,0.012504933,0.132336645
rimO,0.101808209,-3.296074199,0.012543758,0.132336645
bcd,1.050478323,0.071046392,0.012615653,0.132644645
crr,1.236399362,0.306144815,0.012652833,0.132644645
mipA,1.184333526,0.244075423,0.012632264,0.132644645
pyrK,4.084154052,2.030037285,0.012677727,0.132644645
fucO,1.172258881,0.229291209,0.012875129,0.133880196
gamP,1.099071552,0.136285311,0.012849091,0.133880196
ubiX,1.266700562,0.341075524,0.012856123,0.133880196
nusG,-2.904940918,NA,0.012946886,0.134350477
csm5,1.152671364,0.204981248,0.013143374,0.136110526
yebT,1.913475202,0.936195204,0.013177065,0.136180929
